Distance (A) | State | Partition | DI | Pop(Li) | Pop(H)
        6.80 | GS    | FPIAO(1.5)   | 0.000521 | 2.999686 | 1.000029
        6.80 | GS    | FPIAO(2.0)   | 0.000513 | 2.999679 | 1.000036
        7.00 | GS    | Mulliken     | 0.000614 | 2.999873 | 1.000127
        7.00 | GS    | Lowdin       | 0.002402 | 3.001836 | 0.998164
        7.00 | GS    | Meta-Lowdin  | 0.000343 | 2.999925 | 1.000075
        7.00 | GS    | IAO          | 0.000332 | 2.999719 | 1.000011
        7.00 | GS    | PEIAO        | 0.000720 | 0.137290 | 0.008346
        7.00 | GS    | FPIAO(1.0)   | 0.000374 | 2.999766 | 0.999969
        7.00 | GS    | FPIAO(1.5)   | 0.000338 | 2.999729 | 1.000005
        7.00 | GS    | FPIAO(2.0)   | 0.000333 | 2.999724 | 1.000010
        7.20 | GS    | Mulliken     | 0.000438 | 2.999937 | 1.000063
        7.20 | GS    | Lowdin       | 0.002070 | 3.001743 | 0.998257
        7.20 | GS    | Meta-Lowdin  | 0.000222 | 2.999951 | 1.000049
        7.20 | GS    | IAO          | 0.000215 | 2.999751 | 0.999994
        7.20 | GS    | PEIAO        | 0.000591 | 0.137357 | 0.007120
        7.20 | GS    | FPIAO(1.0)   | 0.000244 | 2.999783 | 0.999966
        7.20 | GS    | FPIAO(1.5)   | 0.000219 | 2.999758 | 0.999991
        7.20 | GS    | FPIAO(2.0)   | 0.000216 | 2.999754 | 0.999994
        7.40 | GS    | Mulliken     | 0.000320 | 2.999979 | 1.000021
        7.40 | GS    | Lowdin       | 0.001817 | 3.001633 | 0.998367
        7.40 | GS    | Meta-Lowdin  | 0.000144 | 2.999968 | 1.000032
        7.40 | GS    | IAO          | 0.000139 | 2.999772 | 0.999984
        7.40 | GS    | PEIAO        | 0.000482 | 0.137256 | 0.006120
        7.40 | GS    | FPIAO(1.0)   | 0.000159 | 2.999795 | 0.999964
        7.40 | GS    | FPIAO(1.5)   | 0.000142 | 2.999777 | 0.999982
        7.40 | GS    | FPIAO(2.0)   | 0.000140 | 2.999775 | 0.999984
        7.60 | GS    | Mulliken     | 0.000242 | 3.000007 | 0.999993
        7.60 | GS    | Lowdin       | 0.001615 | 3.001514 | 0.998486
        7.60 | GS    | Meta-Lowdin  | 0.000094 | 2.999979 | 1.000021
        7.60 | GS    | IAO          | 0.000090 | 2.999786 | 0.999978
        7.60 | GS    | PEIAO        | 0.000392 | 0.137042 | 0.005307
        7.60 | GS    | FPIAO(1.0)   | 0.000104 | 2.999803 | 0.999964
        7.60 | GS    | FPIAO(1.5)   | 0.000092 | 2.999791 | 0.999977
        7.60 | GS    | FPIAO(2.0)   | 0.000090 | 2.999789 | 0.999978
        7.80 | GS    | Mulliken     | 0.000189 | 3.000026 | 0.999974
        7.80 | GS    | Lowdin       | 0.001448 | 3.001391 | 0.998609
        7.80 | GS    | Meta-Lowdin  | 0.000061 | 2.999987 | 1.000013
        7.80 | GS    | IAO          | 0.000058 | 2.999797 | 0.999975
        7.80 | GS    | PEIAO        | 0.000318 | 0.136759 | 0.004646
